C++,,,,,,,,,,,,,,
Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack,,Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack
100,0.000011,0.000011,0.000012,0.000004,0.000005,0.000004,,100,3840,3840,3827,3827,3840,3827
1K,0.000128,0.000127,0.000111,0.000049,0.000054,0.000045,,1K,3878,3878,3853,3827,3827,3840
10K,0.001234,0.001079,0.001061,0.000494,0.000628,0.000513,,10K,4224,4288,4250,3968,3968,3968
100K,0.013012,0.012745,0.012708,0.006898,0.007650,0.006690,,100K,7680,7680,7680,4992,4992,4992
1M,0.144850,0.125960,0.136208,0.082516,0.089734,0.071319,,1M,46357,46328,46380,19018,18991,19033
,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,
Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack,,Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack
100,0.000008,0.000008,0.000008,0.000007,0.000007,0.000006,,100,1536,1536,1536,1536,1536,1536
1K,0.000143,0.000104,0.000101,0.000059,0.000067,0.000059,,1K,1664,1664,1664,1536,1536,1536
10K,0.001174,0.001194,0.001157,0.000654,0.000733,0.000534,,10K,2048,2048,2048,1792,1792,1792
100K,0.013513,0.013986,0.015206,0.006817,0.007634,0.006553,,100K,5888,5888,5888,3072,3072,3072
1M,0.155000,0.146444,0.156902,0.082311,0.090133,0.078459,,1M,44480,44484,44484,17140,17136,16904
,,,,,,,,,,,,,,
Java,,,,,,,,,,,,,,
Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack,,Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack
100,0.001011,0.000905,0.000786,0.000284,0.000287,0.000227,,100,44170,44136,44142,44134,44028,44120
1K,0.002721,0.002501,0.004965,0.001544,0.001804,0.001559,,1K,44754,44771,44635,44744,44791,44648
10K,0.007876,0.007962,0.008278,0.006647,0.007666,0.007361,,10K,48516,48630,48686,48306,49608,48525
100K,0.065069,0.063313,0.064442,0.045313,0.044791,0.042345,,100K,73198,73220,73208,71860,72004,71529
1M,0.313211,0.334640,0.346097,0.234124,0.233588,0.236308,,1M,226536,226479,226468,238016,237165,234660
,,,,,,,,,,,,,,
Python,,,,,,,,,,,,,,
Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack,,Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack
100,0.000423,0.000439,0.000426,0.000236,0.000219,0.000290,,100,11299,11239,11226,11200,11194,11228
1K,0.004692,0.005206,0.004946,0.002657,0.002975,0.002822,,1K,11379,11340,11345,11341,11379,11366
10K,0.062784,0.067339,0.065053,0.055648,0.056288,0.055990,,10K,12493,12582,12495,12582,12586,12554
100K,0.650361,0.652316,0.628269,0.554700,0.574234,0.556504,,100K,24669,24651,24620,25206,25195,25184
1M,6.938603,6.661681,6.895984,5.223232,5.163898,5.473893,,1M,147862,147962,147893,155361,155331,155282
,,,,,,,,,,,,,,
JavaScript,,,,,,,,,,,,,,
Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack,,Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack
100,0.001401,0.001551,0.001260,0.001199,0.001217,0.001126,,100,40263,40297,40294,40307,40292,40296
1K,0.009048,0.008978,0.009042,0.009029,0.007611,0.008738,,1K,46540,46449,46499,46365,46363,46371
10K,0.021711,0.018436,0.021998,0.017188,0.018257,0.018590,,10K,50309,50239,50036,49337,49443,49357
100K,0.083576,0.088463,0.084912,0.069002,0.071473,0.068361,,100K,98867,98944,98970,78109,78018,77958
1M,0.773838,0.796932,0.819633,0.621102,0.563100,0.608552,,1M,233759,232669,232158,206097,209074,208829
