C++,,,,,,,,,,,,,,
Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack,,Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack
100,0.000014,0.000014,0.000012,0.000005,0.000006,0.000006,,100,3840,3827,3814,3840,3840,3840
1K,0.000118,0.000145,0.000095,0.000053,0.000067,0.000091,,1K,3856,3855,3872,3851,3851,3851
10K,0.001351,0.001792,0.001551,0.000609,0.00076,0.000649,,10K,4268,4208,4224,3968,3968,3968
100K,0.01395,0.014919,0.013562,0.006382,0.00993,0.007291,,100K,7795,7808,7296,4992,4992,4992
1M,0.126359,0.132393,0.125568,0.068767,0.077471,0.067372,,1M,46315,46258,42355,18944,18944,18944
,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,
Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack,,Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack
100,0.000009,0.000008,0.000009,0.000006,0.000008,0.000008,,100,1536,1536,1536,1536,5504,1536
1K,0.000124,0.000129,0.000156,0.00006,0.000066,0.00007,,1K,1664,1664,1664,1536,1536,1536
10K,0.001183,0.001184,0.001162,0.000614,0.000756,0.000679,,10K,2048,2048,2048,1792,1792,1792
100K,0.013318,0.012378,0.012331,0.008886,0.008605,0.006345,,100K,5760,5760,5760,3059,3059,3072
1M,0.134499,0.14824,0.113088,0.063661,0.073918,0.072833,,1M,44416,44278,44422,16938,16949,16947
,,,,,,,,,,,,,,
Java,,,,,,,,,,,,,,
Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack,,Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack
100,0.001345,0.00125,0.001435,0.001168,0.000929,0.000956,,100,116349,116689,116490,116471,116294,116632
1K,0.003054,0.003418,0.00331,0.002403,0.002639,0.002305,,1K,116668,116884,116490,116374,116719,116410
10K,0.01036,0.01021,0.011703,0.00868,0.009402,0.010245,,10K,116767,116823,117168,116751,116584,116591
100K,0.04143,0.041024,0.04071,0.03884,0.040407,0.038879,,100K,130081,131343,130973,128919,129007,129217
1M,0.324562,0.361962,0.376101,0.258217,0.298287,0.265328,,1M,242421,237015,234679,227271,238711,232842
,,,,,,,,,,,,,,
Python,,,,,,,,,,,,,,
Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack,,Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack
100,0.00038,0.000329,0.000372,0.000144,0.00015,0.000157,,100,11008,10995,11007,10912,11008,10982
1K,0.004549,0.004388,0.004796,0.001911,0.001742,0.002026,,1K,11136,11136,11136,11136,11120,11136
10K,0.031878,0.036245,0.031072,0.022107,0.024014,0.025415,,10K,12416,12282,12279,12288,12276,12262
100K,0.343921,0.366,0.374642,0.291499,0.274102,0.311625,,100K,24309,24280,24254,24933,24918,24899
1M,5.177725,5.006197,5.243565,3.329111,3.389937,3.402854,,1M,143981,144068,144021,155066,155084,155096
,,,,,,,,,,,,,,
JavaScript,,,,,,,,,,,,,,
Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack,,Volume,dynamic_list,dynamic_queue,dynamic_stack,static_list,static_queue,static_stack
100,0.001068,0.000866,0.000860,0.000905,0.000765,0.001047,,100,40070,40166,40192,40165,40166,40150
1K,0.003568,0.003455,0.003411,0.003184,0.003285,0.003195,,1K,44851,44856,44876,44195,44153,44225
10K,0.01293,0.013927,0.012453,0.01138,0.010275,0.012133,,10K,49215,49312,49248,48974,48877,48896
100K,0.070782,0.076216,0.062395,0.047541,0.05122,0.05047,,100K,93649,93806,93248,79018,79064,78952
1M,0.565431,0.542289,0.626259,0.405098,0.390635,0.327313,,1M,215632,216098,215037,193530,194914,193724
